resort_id,category,question,answer,source
sunrise_villa,check_in,เช็คอินได้กี่โมง,เช็คอินได้ตั้งแต่เวลา 14:00 น. เป็นต้นไป หากต้องการเช็คอินก่อนเวลา กรุณาติดต่อล่วงหน้าที่แผนกต้อนรับ,หน้านโยบายการเข้าพัก
sunrise_villa,check_out,เช็คเอาท์กี่โมง,เช็คเอาท์ก่อนเวลา 12:00 น. หากต้องการเช็คเอาท์ล่าช้า (late check-out) มีค่าบริการเพิ่มเติมตามที่แผนกต้อนรับแจ้ง,หน้านโยบายการเข้าพัก
sunrise_villa,facility,มีสระว่ายน้ำไหม,ไม่มี,หน้าสิ่งอำนวยความสะดวก
sunrise_villa,facility,มีที่จอดรถหรือไม่,มีที่จอดรถฟรีสำหรับผู้เข้าพัก จำนวน 4 คัน บริเวณด้านหน้ารีสอร์ต,หน้าสิ่งอำนวยความสะดวก
sunrise_villa,pet_policy,นำสัตว์เลี้ยงเข้าพักได้ไหม,อนุญาตให้นำสัตว์เลี้ยงขนาดเล็ก (ไม่เกิน 10 กก.) เข้าพักได้ในบางห้อง กรุณาแจ้งล่วงหน้าก่อนเข้าพัก มีค่าธรรมเนียมเพิ่มเติม 500 บาทต่อคืน,หน้านโยบายสัตว์เลี้ยง
sunrise_villa,payment,ชำระเงินด้วยวิธีไหนได้บ้าง,รับชำระผ่านบัตรเครดิต บัตรเดบิต และโอนผ่านธนาคาร ไม่รับชำระเป็นเงินสดหน้างานสำหรับการจองล่วงหน้า,หน้านโยบายการชำระเงิน
sunrise_villa,cancellation,ยกเลิกการจองได้ไหม,สามารถยกเลิกการจองได้ฟรีก่อนวันเข้าพัก 3 วัน หากยกเลิกหลังจากนั้นจะมีการหักค่าธรรมเนียม 50% ของยอดจอง,หน้านโยบายการยกเลิก
sunrise_villa,restaurant,มีร้านอาหารในรีสอร์ตไหม,มีร้านอาหารในรีสอร์ต เปิดให้บริการอาหารเช้า-เย็น เวลา 06:30-22:00 น. รวมอาหารเช้าอยู่ในราคาห้องพักแล้ว,หน้าสิ่งอำนวยความสะดวก
sunrise_villa,wifi,มี wifi ฟรีไหม,มี Wi-Fi ฟรีครอบคลุมทุกพื้นที่ของรีสอร์ต รหัสผ่านสามารถขอได้ที่แผนกต้อนรับ,หน้าสิ่งอำนวยความสะดวก
sunrise_villa,transportation,มีรถรับส่งจากสนามบินไหม,มีบริการรถรับส่งจากสนามบิน กรุณาแจ้งเที่ยวบินล่วงหน้าอย่างน้อย 24 ชั่วโมง มีค่าบริการเพิ่มเติมตามระยะทาง,หน้าบริการเสริม
